tr @ epoch 209/300 | Loss 0.001047 | 8.26 (s)
tr @ epoch 210/300 | Loss 0.001045 | 8.26 (s)
te @ epoch 210/300 | Loss 0.001078 | 0.75 (s)
tr @ epoch 211/300 | Loss 0.001042 | 8.27 (s)
tr @ epoch 212/300 | Loss 0.001046 | 8.28 (s)
tr @ epoch 213/300 | Loss 0.001043 | 8.25 (s)
tr @ epoch 214/300 | Loss 0.001042 | 8.26 (s)
tr @ epoch 215/300 | Loss 0.001048 | 8.26 (s)
tr @ epoch 216/300 | Loss 0.001043 | 8.25 (s)
tr @ epoch 217/300 | Loss 0.001043 | 8.25 (s)
tr @ epoch 218/300 | Loss 0.001045 | 8.25 (s)
tr @ epoch 219/300 | Loss 0.001046 | 8.26 (s)
tr @ epoch 220/300 | Loss 0.001043 | 8.26 (s)
tr @ epoch 221/300 | Loss 0.001043 | 8.25 (s)
tr @ epoch 222/300 | Loss 0.001044 | 8.26 (s)
tr @ epoch 223/300 | Loss 0.001044 | 8.25 (s)
tr @ epoch 224/300 | Loss 0.001042 | 8.26 (s)
tr @ epoch 225/300 | Loss 0.001041 | 8.26 (s)
te @ epoch 225/300 | Loss 0.001073 | 0.75 (s)
tr @ epoch 226/300 | Loss 0.001041 | 8.26 (s)
tr @ epoch 227/300 | Loss 0.001039 | 8.26 (s)
tr @ epoch 228/300 | Loss 0.001042 | 8.26 (s)
tr @ epoch 229/300 | Loss 0.001040 | 8.25 (s)
tr @ epoch 230/300 | Loss 0.001041 | 8.25 (s)
tr @ epoch 231/300 | Loss 0.001037 | 8.26 (s)
tr @ epoch 232/300 | Loss 0.001044 | 8.25 (s)
tr @ epoch 233/300 | Loss 0.001038 | 8.26 (s)
tr @ epoch 234/300 | Loss 0.001043 | 8.26 (s)
tr @ epoch 235/300 | Loss 0.001040 | 8.25 (s)
tr @ epoch 236/300 | Loss 0.001040 | 8.27 (s)
tr @ epoch 237/300 | Loss 0.001038 | 8.25 (s)
tr @ epoch 238/300 | Loss 0.001039 | 8.26 (s)
tr @ epoch 239/300 | Loss 0.001040 | 8.26 (s)
tr @ epoch 240/300 | Loss 0.001040 | 8.25 (s)
te @ epoch 240/300 | Loss 0.001071 | 0.75 (s)
tr @ epoch 241/300 | Loss 0.001042 | 8.26 (s)
tr @ epoch 242/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 243/300 | Loss 0.001038 | 8.26 (s)
tr @ epoch 244/300 | Loss 0.001040 | 8.26 (s)
tr @ epoch 245/300 | Loss 0.001037 | 8.26 (s)
tr @ epoch 246/300 | Loss 0.001036 | 8.57 (s)
tr @ epoch 247/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 248/300 | Loss 0.001037 | 8.24 (s)
tr @ epoch 249/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 250/300 | Loss 0.001039 | 8.29 (s)
tr @ epoch 251/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 252/300 | Loss 0.001039 | 8.25 (s)
tr @ epoch 253/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 254/300 | Loss 0.001038 | 8.26 (s)
tr @ epoch 255/300 | Loss 0.001034 | 8.26 (s)
te @ epoch 255/300 | Loss 0.001069 | 0.75 (s)
tr @ epoch 256/300 | Loss 0.001038 | 8.25 (s)
tr @ epoch 257/300 | Loss 0.001039 | 8.25 (s)
tr @ epoch 258/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 259/300 | Loss 0.001038 | 8.25 (s)
tr @ epoch 260/300 | Loss 0.001037 | 8.26 (s)
tr @ epoch 261/300 | Loss 0.001034 | 8.25 (s)
tr @ epoch 262/300 | Loss 0.001037 | 8.26 (s)
tr @ epoch 263/300 | Loss 0.001034 | 8.26 (s)
tr @ epoch 264/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 265/300 | Loss 0.001039 | 8.26 (s)
tr @ epoch 266/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 267/300 | Loss 0.001035 | 8.26 (s)
tr @ epoch 268/300 | Loss 0.001036 | 8.26 (s)
tr @ epoch 269/300 | Loss 0.001037 | 8.25 (s)
tr @ epoch 270/300 | Loss 0.001040 | 8.25 (s)
te @ epoch 270/300 | Loss 0.001067 | 0.75 (s)
tr @ epoch 271/300 | Loss 0.001037 | 8.26 (s)
